"IDReceta";"Receta";"Preparacion";"Porciones";"IDCategoria";"IDCocina";"IDComplejidad";"Sugerencia";"IDRendimiento"
271;"Pollo al Orégano";"Encienda el horno a temperatura media. Lave uno de los limones y corte en cuartos. Exprima el restante y reserve el jugo. Pele los ajos y aplástelos.   
 
Salpimente el pollo, por dentro y por fuera, a gusto. Introduzca en la cavidad del ave los gajos de limón, la mitad de los ajos y del orégano.   
 
Caliente el aceite en la sartén pequeña, añada los dientes de ajo restantes y, a fuego medio, rehogar ligeramente hasta estén ligeramente dorados. Entonce, añada el orégano reservado, el zumo de limón y salpimente, a gusto. Revuelva y retire.  
 
Colocar el pollo en la fuente con la pechuga hacia arriba y úntelo con la mezcla de aceite, ajos y limón. Hornee durante 1 1/2 h., rocíandolo a menudo con su propio jugo, hasta que esté dorado. Entonces, apague el horno, dejar reposar 5 min y sirva.";6,00;24;15;3;"Puede servir acompañado con Papas con Coco Raita, Aros de Cebolla, Arroz con cardamomo y azafrán.";2
272;"Spaguetis con Crema de Champignones";"Coloque la panceta, a fuego medio/alto y cocine, dándola vuelta hasta que comience a dorarse. Retire y reserve.  
 
En la ollita, vierta la leche y lleve a hervir a fuego alto. Entonces, añada los champignones y deje cocer durante 3 min. Retire, escurra y reserve la mitad del líquido.   
 
En el bol bata los huevos, añada la crema y leche reservada, siempre batiendo, luego, incorpore el queso rallado y la mitad del jamón. Salpimente, a gusto.  
 
En la olla mediana, a fuego medio, derrita la manteca, añada la pasta y la salsa, baje el fuego a lento, cocine siempre mezclando unos 4 min. Entonces, coloque en la fuente, distribuya encima los hongos y la panceta. Sirva.";4,00;17;8;3;"Puede añadir alcaparras en el momento de servir.";2
273;"Niños envueltos a la Romana";"Con la maza golpee la carne, para ablandarla y afinarla. Luego, a gusto, cubra cada bife con una tajada de jamón y coloque en el centro una hojita de salvia.   
 
Enrrolle y cierre con un escarbadientes, para que no se abran, coloque la harina en el plato y pase los rollitos, cubriéndolos, para que queden bien rebozados. Luego, sacúdalos para desechar el exceso de harina.  
 
En la sartén, a fuego medio/alto, derrita la manteca y cuando comience a calentarse, añada loslos niños envueltos y deje que se doren, rotándolos para que se hagan parejos.   
 
Estarán en unos 7 a 10 min., estonces,rocie con el vino, baje el fuego a lento y deje cocer hasta que el líquido se evapore casi todo, más o menos 15 min. Sirva calientes bañados con su jugo.";4,00;15;8;3;"Sirva acompañados por Papas con crema y hierbas, Papas Duquesa o Puré de papas.";2
274;"Pletzalej /Pancitos de Cebolla";"En el plato hondo coloque la cebolla, espolvoree con sal y rocíe con un chorrito de aceite. Luego mezcle bien y reserve.  
 
En el bol, mezcle el aceite, restante, con la leche y la sal, revolviendo bien con la cuchara de madera. Después, añada de a poco, en forma de lluvia, hasta obtener una masa tierna, siempre mezclando con la cuchara de madera.   
 
Colóquela sobre una mesada espolvoreada con un poco de harina y amásela rápidamente hasta tener un bollo liso. Entonces, cúbrala con el paño y deje descansar 1 h.  
 
Cuando se cumpla ese tiempo, encienda el horno a temperatura media/alta, para precalentarlo. Después, divida la masa en 18 trocitos y, con las manos enharinadas forme bolitas.   
 
Luego, espolvoree con un poco de harina la mesada y con la palma de la mano aplaste las bolitas, dándoles forma redonda, deben quedar de 1 cm. de alto.  
 
Unte ligeramente con aceite la placa, cubra cada pletzaleg con poco de la cebolla y espolvoree encima las semillas de amapola. Distribúyalos en la placa y hornee 15 min. o hasta que estén dorados. Retire y deje enfriar.";18,00;7;20;3;" Puede servirlos rellenos con Pasta de Hígado o Crema de hígado o Dip de Salmón Ahumado o Dip de Arenque Ahumado.";3
275;"Papas/Patatas al Gruyére";"Unte con manteca la fuente, con 1/3 de las rodajas de papas forme una capa, salpimente a gusto. Encima forme una capa con la mitad de las tajadas de queso.   
 
Luego, cubra con otra capa de papas, salpimente, cubra nuevamente con queso y termine con una capa de papas.   
 
Entonces, mezcle, en la jarrita, la crema con el agua, vierta sobre las papas, espolvoree con queso rallado y lleve al microondas, a potencia máxima (10) unos 13 min.. Deje reposar 3 min. y sirva.";4,00;13;3;2;"Sirva como guarnición de Albóndigas de Pollo, Bifes a la Girardi, Carne a la Plancha, Costillitas de Cerdo a la Villeroy.";2
276;"Crêpes a la Normanda";"Encienda el horno a temperatura media/alta, para precalentarlo. Mientras tanto, en el bol mezcle, bien, el queso con la manteca y añada el huevo, la sal, la pimienta, el azúcar y la nuez moscada, mezclando hasta tener una preparación homogénea.  
 
Luego, distribuya la mezcla sobre las crêpes, cubriendo toda la superficie, uniformemente, pero dejando unos 3 mm. libres en los bordes. Después, doble por la mitad, y ésta a su vez en mitades.  
 
Coloque en la fuente, algo encimadas, vierta la crema de leche, encima, espolvoree con el queso rallado y lleve al horno hasta que comiencen a dorarse. Entonces, retire y sirva.";6,00;10;3;3;"Puede servirse como entrada caliente o plato principal en este caso acompañe con Mesclum u otra ensalada de hojas.";2
277;"Salsa Fría de Roquefort";"Coloque todos los ingredientes en la licuadora y triture hasta tener una preparación homogénea.";6,00;9;9;2;"Esta salsa es excelente para acompañar pescado asado, carnes frías, como aderezo de ensaladas, especialmente si tiene apio. Si desea servirla como pasta para untar debe utilizar 100 gr. de queso roquefort y 100 gr. de crema de leche.";2
278;"Ensalada de Rúcula y Parmesano";"Coloque las hojas de rúcula en la ensaladera y, sobre el plato, corte fetas finas de queso con el pelapapas.  
 
Luego, distribuya las láminas de queso sobre la verdura y en el bol, con el batidor mezcle el aceto, con la miel y la mostaza.  
 
Enseguida, batiendo, añada gota a gota el aceite de oliva y salpimente, a gusto. Vierta el aliño sobre la ensalada, distribuya los tomatitos y sirva.";4,00;13;8;2;"Puede prepararla en porciones individuales, para presentarla directamente en los platos de servicio.";2
279;"Salsa de C & C";"Lave, escurra y ate, formando un ramito las hierbas y la cáscara, deje un extremo del hilo de unos 15 cm. de largo. En la olla derrita a fuego medio/alto 50 g. de manteca. Luego, añada la cebolla y los echalotes, baje el fuego a medio y rehóguelas, unos 5 min., mezclando con la cuchara de madera.  
 
Coloque el ramito dentro de la olla y ate el extremo del hilo en la asa. Vierta el champagne, suba a fuego alto y deje hervir unos 10 a 12 min.. Mientras tanto, caliente en la sartén, a fuego medio/alto, el resto de la manteca y saltee los champignones, unos 4 a 5 min., revolviendo de vez, en cuando con la cuchara de madera.   
 
Retire la sartén y reserve, cerca de la hornalla encendida, para mantener caliente. Luego, retire las hierbas, de la otra preparación, añada la crema, salpimente a gusto y mezcle bien. Agregue la mostaza, mezclando bien y cocine unos 2 min. más.  
 
Pase la salsa por el colador, sobre el bol y añada los champignones. Luego, o en el momento de servir, viértala nuevamente en la olla y caliente a fuego medio/alto, unos 4 min., antes de bañar la pasta.";6,00;9;9;3;"Es ideal para acompañar pastas, rellenas o no y arroz.";2
281;"Duraznos al Yogur";"Abra la lata, deseche las 2/3 partes del almíbar y vierta el resto, junto con la fruta en la compotera.  
 
Espolvoree con el azúcar y rocíe con el kirsch. Lleve a refrigerar por lo menos 2 h. antes de servir.";4,00;11;9;2;"Si desea puede combinar con frutillas.";2
282;"Crêpes Crocantes";"Vierta un poco de aceite y lleve la sartén a fuego medio, para calentarlo. Cuando esté caliente coloque un crêpe y baje el fuego a lento.  
 
Mientras tanto, corte el queso cheddar en daditos y mézclelo, en un bol, con el queso blanco. En el otro bol mezcle el queso rallado con el cognac.  
 
Unte el crêpe con las dos preparaciones, encima espolvoree con albahaca y haga nuevamente capas con las dos mezclas de queso.  
 
Luego, añada 2 rodajas de tomate, rocíe con crema y finalmente cubra con otro crêpe, haciendo una tapa. Cuando la base esté dorada, tardará unos 4 min. más o menos, con ayuda del plato dé vuelta.  
 
Entonces, deje cocer, subiendo el fuego a medio, hasta que esté dorada, retire, coloque en el plato, caliente y mantenga cerca de la hornalla mientras repite la operación hasta tener hechas las otras tres.";4,00;3;9;3;"Sirva calientes para comer con cubiertos.";2
283;"Puré de Papas Nahuel";"Encienda el horno a tempertura media/alta. Prense las papas sobre el bol, añada la leche, el queso, la manteca, las yemas y mezcle bien. Salpimente, a gusto.  
 
Coloque el puré en la fuente, empareje bien con el revés de la cuchara de madera. Luego, corte el jamón y la panceta en tiritas finas.  
 
Distribúyalas encima del puré y vierta la crema encima. Lleve a hornear unos 15 min., retire y sirva.";6,00;13;6;2;"Puede servir como guarnición de milanesas, Bifes a la Girardi, Bifes a la Parmesana o Bifes a la Tuna.";2
284;"Puré de papas";"Lave las papas, colóquelas, enteras y con cáscara, en la olla y cúbralas con agua. Llévelas al fuego alto, durante 30 min., más o menos.  
 
Una vez cocidas las papas, pélelas y vuelva a colocarlas en la olla. Sálelas y condiméntelas con nuez moscada y pimienta, agrégue un chorrito de de leche.  
 
Luego, haga el puré con la batidora o con el prensapuré y vaya agregándoles más leche hasta lograr la consistencia deseada. Cuando el puré esté listo agregue la manteca y, si desea darle, aún un mejor sabor, añádale un par de cucharadas de crema de leche y queso rallado.  
 
Si desea que resulte cremoso, pero no quiere incorporar más calorías, la crema de leche se puede reemplazar por dos cucharadas de leche en polvo descremada.";4,00;13;9;2;"Se mantiene caliente hasta el momento de servir si lleva a baño María. Si lo deja un tiempo prolongado, a lo mejor seca un poco y, en ese caso, debe agregarle leche o crema de leche, hasta que tome la consistencia de antes.";2
285;"Aros de Cebolla";"Corte las cebollas en rodajas de 1 cm. de grosor y separe en aros. Coloque la fécula en la bolsa, luego los aros.  
 
Cierre la bolsa y agítela varias veces, hasta que los aros estén bien cubiertos por la fécula. Después, vierta el aceite en la sartén y lleve a fuego medio/alto a calentar.  
 
Fría los aros, en 3 tandas, de ambos lados, hasta que estén dorados, más o menos unos 7 min y retire con la espumadera. Escurra sobre papel absorbente y coloque en la fuente, deje ésta cerca de la hornalla encendida, para que se mantengan calientes mientras fríe el resto.";6,00;13;13;2;"Sale, a gusto y sirva para acompañar Mixed Grill, Hamburguesa de Lentejas, Hamburguesas a la americana, Hamburguesas de Tofú.";2
286;"Papas con crema y hierbas";"Pele las papas y córtelas en cuatro partes a lo largo y luego corte, en el mismo sentido, cada una en una o dos partes, deben quedar como gajos. Lávelas con abundante agua, escurra bien en el colador y séquelas con papel de absorbente.  
 
Luego, en la sartén, caliente el aceite y fría las papas a fuego medio-alto durante 10 a 15 minutos o hasta que se doren. Retírelas del aceite y escúrralas sobre papel de absorbente.  
 
Mientras las papas se están friendo, en el bol mezcle bien, con la cuchara de madera, la crema y el yogur. A continuación, incorpore el cebollín o cebolla de verdeo, el tomillo, el ajo y la salsa de ají. Sírvala como acompañamiento de las papas";4,00;13;9;3;"Este plato puede también ser una excelente guarnición de un plato principal de carne, ave o pescado asado, en ese caso rinde para 6 porciones. Solo, se puede servir con una ensalada como guarnición.";2
287;"Crêpes de Cerveza";"Cierna la harina dentro del bol, formando una corona. En el centro coloque el azúcar, la sal, el aceite y los huevos. Vierta paulatinamente la cerveza, mientras va uniendo todos los ingredientes, con el batidor o tenedor.  
 
Mezcle bien, hasta tener una masa de consistencia fluida, pero espesa. Deje reposar, a temperatura ambiente, unos 5 min. Luego, a fuego medio/alto, caliente la sartén o panquequera y eche una pizca de manteca, moviendo para untar bien el recipiente.   
 
Vierta por cucharadas la pasta, en el centro, mueva para cubrir el fondo de la sartén, con una capa fina, cocine unos 2 min., o hasta que la base comience a dorarse, de vuelta y cocine del otro lado, tardará unos 3 a 4 min., en total.  
 
Con la espátula, retire y proceda del mismo modo, hasta terminar la masa. A medida que estén listo colóquelos en la fuente o plato, cubra con el paño y mantenga, calientes, cerca de la hornalla encendida.";18,00;11;9;3;"Rellene con una preparación dulce o crema o mermelada, a gusto.";3
288;"Papas Duquesa";"En el bol, mezcle el puré caliente con 50 g. de manteca, la sal, la pimienta y la nuez moscada. Luego, añada un huevo y una clara, mezclando bien.  
 
Unte la placa con manteca y distribuya el puré hasta formar una capa de 1 cm. de espesor. Pase manteca por la superficie, para que no se forme costra.  
 
Mientras la preparación se enfría, encienda el horno a temperatura máxima, para precalentarlo.  
 
Con el cortapastas o un cuchillo corte el puré dándole la forma que desee. Lave la placa y úntela nuevamente con manteca.  
 
Distribya el puré en la placa, bata la yema reservada y pínte. Hornee hasta que se dore.";6,00;13;3;2;"Una vez echa la preparación del puré, si esperar que enfríe, puede dar forma con una manga pastelera con boquilla rizada.";2
289;"Lomo a la Pimienta";"Encienda una hornalla a fuego alto y coloque la sartén para calentarla, unos 3 min.. Entonces, añada la manteca y el aceite. Sale la carne.  
 
Cuando la manteca se haya derretido distribuya la carne y cocínela unos 4 a 7 min., según el grado de cocción que desee. De vuelta, coloque la pimienta en la superficie y cocine por igual tiempo.  
 
Retire y sirva.";4,00;15;9;3;"Puede acompañar con Endibias al Vino Blanco o Repollitos de Bruselas a la Manteca.";2
